trial,pFinf,pFnoninf,pO,past_rew_ch,past_rew_unch,past_Finf_ch,past_Finf_unch,past_Fnoninf_ch,past_Fnoninf_unch,past_O_ch,past_O_unch,subj,rts
34.0,-0.7731898882334817,-0.44183275227903906,-2.197224577336219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.0,1.3340999999999998
35.0,-0.44183275227903906,0.8472978603872034,-0.25131442828090617,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8397.0,1.1015
36.0,0.7731898882334817,-0.8472978603872034,-2.197224577336219,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8397.0,1.0505
37.0,0.3677247801253173,-0.44183275227903906,0.25131442828090617,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8397.0,1.1317000000000002
38.0,-0.8472978603872034,-0.7731898882334817,-2.197224577336219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.0,1.0378
39.0,0.7731898882334817,0.44183275227903906,2.197224577336219,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8397.0,1.1807999999999998
40.0,-0.8472978603872034,0.44183275227903906,0.25131442828090617,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8397.0,4.1114
41.0,-0.7731898882334817,0.7731898882334817,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8397.0,0.7908999999999999
42.0,-0.3677247801253173,-0.7731898882334817,-1.945910149055313,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8397.0,0.916
43.0,-0.3677247801253173,0.8472978603872034,1.945910149055313,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8397.0,0.6342000000000001
44.0,0.3677247801253173,0.8472978603872034,2.197224577336219,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8397.0,0.5921000000000001
45.0,-0.7731898882334817,-0.7731898882334817,-1.945910149055313,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8397.0,1.4001
46.0,-0.3677247801253173,-0.8472978603872034,-2.197224577336219,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8397.0,1.4018
47.0,-0.3677247801253173,-0.3677247801253173,-1.945910149055313,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8397.0,1.1122999999999998
48.0,-0.7731898882334817,0.3677247801253173,-2.197224577336219,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8397.0,4.3651
49.0,0.44183275227903906,0.3677247801253173,2.197224577336219,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8397.0,1.4597
